X,Y,DATA_CREAZ,DENOM_CORR,DENOM_ATTO,ENTE,ID_REG_BEN,NOTE_BENE,RIFER_LEGG,TIPO_BENE,SE_SDO_ROW,icon_url
15.8743868661125,38.3450505113987,2004/01/22,SEMINARA - Torre Persicara (SEMINARA),DL 22/01/2004,I600,1223.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1223.0000000000000000000000000000000,./0.png
16.3194166650558,38.5645277820216,2004/01/22,SERRA SAN BRUNO - Certosa fortificata Certosa (SERRA SAN BRUNO),DL 22/01/2004,I639,1106.0000000000000000000000000000000,,LR 12/04/1990 N. 42,Fortificazione,1106.0000000000000000000000000000000,./0.png
16.2785387608268,38.2847953931018,2004/01/22,SIDERNO - Torre Agnone o di Mesima? (SIDERNO),DL 22/01/2004,I725,1226.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1226.0000000000000000000000000000000,./0.png
16.2785387608268,38.2847953931018,2004/01/22,SIDERNO - Torre Di Tamburri (o di Siderno) (SIDERNO),DL 22/01/2004,I725,1225.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1225.0000000000000000000000000000000,./0.png
16.2304999961422,38.5955277744413,2004/01/22,SORIANELLO - Castello  (SORIANELLO),DL 22/01/2004,I853,1109.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1109.0000000000000000000000000000000,./0.png
16.1528085520809,38.6635250662106,2004/01/22,STEFANACONI - Castello  (STEFANACONI),DL 22/01/2004,I945,1115.0000000000000000000000000000000,Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1115.0000000000000000000000000000000,./0.png
15.9756388938352,38.3619166652914,2004/01/22,TAURIANOVA - Castello S. Martino (TAURIANOVA),DL 22/01/2004,L063,1232.0000000000000000000000000000000,Traccia storica,LR 12/04/1990 N. 42,Fortificazione,1232.0000000000000000000000000000000,./0.png
16.0064722261788,38.3221666633694,2004/01/22,TERRANOVA SAPPO MINULIO - Castello  (TERRANOVA SAPPO MINULIO),DL 22/01/2004,L127,1231.0000000000000000000000000000000,Traccia storica,LR 12/04/1990 N. 42,Fortificazione,1231.0000000000000000000000000000000,./0.png
15.8930307902603,38.6712705418264,2004/01/22,TROPEA - Torre Del Bali (Ricadi?) (TROPEA),DL 22/01/2004,L452,1123.0000000000000000000000000000000,Rudere Integrato. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1123.0000000000000000000000000000000,./0.png
15.8930307902603,38.6712705418264,2004/01/22,TROPEA - Torre Mattana (S. Maria di Ricadi?) (TROPEA),DL 22/01/2004,L452,1124.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1124.0000000000000000000000000000000,./0.png
15.8930307902603,38.6712705418264,2004/01/22,TROPEA - Torre Della Ruffa (Ricadi?) (TROPEA),DL 22/01/2004,L452,1122.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1122.0000000000000000000000000000000,./0.png
15.8930307902603,38.6712705418264,2004/01/22,TROPEA - Castello  (TROPEA),DL 22/01/2004,L452,1121.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1121.0000000000000000000000000000000,./0.png
15.8930307902603,38.6712705418264,2004/01/22,TROPEA - Torre «D'Avviso» (TROPEA),DL 22/01/2004,L452,1126.0000000000000000000000000000000,Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1126.0000000000000000000000000000000,./0.png
