X,Y,IDFRANA,PIFF_TY,LAT,LONG,X_COORD,Y_COORD,DIR,icon_url
15.6429207542793,38.2173804495604,"800431800","11","38,21675","15,64292",1081842.90999999992,4250853.91000000015,555.00000000000,./0.png
15.6437423597985,38.2204718421904,"800431900","11","38,21984","15,64374",1081890.17999999993,4251202.66999999993,555.00000000000,./0.png
15.6448051193532,38.218431678947,"800432000","11","38,2178","15,6448",1081999.70999999996,4250982.63999999966,555.00000000000,./0.png
15.6465559712733,38.219145989645,"800432100","11","38,21851","15,64656",1082147.50000000000,4251073.08999999985,555.00000000000,./0.png
15.6412948110298,38.2242477371678,"800432200","11","38,22362","15,64129",1081645.35000000009,4251606.86000000034,555.00000000000,./0.png
15.6456804511579,38.2210277726352,"800432300","11","38,2204","15,64568",1082055.64999999991,4251276.70000000019,555.00000000000,./0.png
15.6543413577792,38.2236195231737,"800432400","11","38,22299","15,65434",1082794.20999999996,4251619.50000000000,555.00000000000,./0.png
15.6469839007239,38.2277102438331,"800432700","11","38,22708","15,64698",1082116.36000000010,4252027.61000000034,555.00000000000,./0.png
15.6451400629213,38.2324871920258,"800432800","11","38,23186","15,64514",1081916.42999999993,4252546.87000000011,555.00000000000,./0.png
15.6620150561794,38.2292662814466,"800432900","11","38,22864","15,66201",1083421.61000000010,4252295.65000000037,555.00000000000,./0.png
15.6605084679331,38.2287310958051,"800433000","11","38,2281","15,66051",1083293.83000000007,4252226.62000000011,555.00000000000,./0.png
15.6680387901086,38.0097990045014,"800916000","7","38,00917","15,66804",1085709.93999999994,4227943.08000000007,555.00000000000,./0.png
15.6610800222183,38.0097254917217,"800916100","2","38,00909","15,66108",1085098.62999999989,4227890.87999999989,201.00000000000,./0.png
15.6683097100874,38.0324436771171,"800909900","7","38,03181","15,66831",1085552.53000000003,4230461.45000000019,555.00000000000,./0.png
15.6638646412262,38.0313609829629,"800911100","2","38,03073","15,66386",1085170.45999999996,4230312.98000000045,301.00000000000,./0.png
15.6676101346615,38.0247188496764,"800916500","2","38,02409","15,66761",1085552.86000000010,4229598.50999999978,352.00000000000,./0.png
15.6674667522458,38.0276555272668,"800916600","2","38,02702","15,66747",1085516.76000000001,4229923.96999999974,344.00000000000,./0.png
15.6637789816842,38.0214699248269,"800917000","2","38,02084","15,66378",1085242.04000000004,4229213.17999999970,284.00000000000,./0.png
15.6615353070296,38.033429198333,"800917100","2","38,0328","15,66153",1084949.15999999992,4230528.09999999963,255.00000000000,./0.png
